IP,Identity,User,Timestamp,Request,Status,Size,Referer,User-Agent
146.185.171.57,-,-,22/Jan/2019:13:51:37 +0330,GET /static/css/font_awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1,200,77171,https://znbl.ir/static/bundle-bundle_site_head.css,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
5.113.215.131,-,-,23/Jan/2019:22:40:55 +0330,GET /site/enamad HTTP/1.1,200,278,https://www.zanbil.ir/browse/home-appliances/%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
2.186.181.230,-,-,25/Jan/2019:18:01:44 +0330,GET /image/32887?name=delr-2000-1.jpg&wh=max HTTP/1.1,200,34315,https://www.zanbil.ir/product/32887/63364/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%AF%D9%88%D9%82%D9%84%D9%88-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-DELR-2000SS-DELF-2000SS,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
2.181.23.82,-,-,22/Jan/2019:14:27:41 +0330,GET /static/images/checked.png HTTP/1.1,200,1083,https://znbl.ir/static/bundle-bundle_site_head.css,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
2.178.6.66,-,-,26/Jan/2019:12:52:25 +0330,GET /image/65274/productModel/200x200 HTTP/1.1,200,4328,https://www.zanbil.ir/m/filter/b1%2Cp62,"Mozilla/5.0 (Linux; Android 7.1.1; SM-T355) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Safari/537.36"
5.112.95.247,-,-,23/Jan/2019:22:12:40 +0330,GET /image/8766/specialSale?role=mobile HTTP/1.1,200,16058,https://www.zanbil.ir/m,"Mozilla/5.0 (Linux; U; Android 4.0.4; en-us; SonyEricssonSK17i Build/4.1.B.0.431) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
40.77.167.127,-,-,24/Jan/2019:20:05:32 +0330,GET /product/21312?model=45481 HTTP/1.1,301,178,-,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
92.50.39.177,-,-,23/Jan/2019:14:51:16 +0330,GET /image/32019?name=mate10-22.jpg&wh=300x300 HTTP/1.1,200,6652,https://www.zanbil.ir/product/32019/65144/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-Mate-10-Dual-64GB-%28ALP-L29%29,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
85.185.254.50,-,-,24/Jan/2019:15:44:45 +0330,GET /site/enamad HTTP/1.1,200,278,https://www.zanbil.ir/browse/home-appliances/%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
46.248.47.38,-,-,23/Jan/2019:18:16:45 +0330,GET /favicon.ico HTTP/1.1,200,0,https://www.zanbil.ir/m/filter/b878%2Ct26?page=1,"Mozilla/5.0 (Linux; Android 4.4.4; GT-I9060I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36"
46.209.25.132,-,-,26/Jan/2019:15:58:06 +0330,GET /image/126/brand HTTP/1.1,200,2436,"https://www.zanbil.ir/filter/b1,p65","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
5.113.25.43,-,-,26/Jan/2019:18:52:45 +0330,GET /m/browse/foot-massager/%D9%85%D8%A7%D8%B3%D8%A7%DA%98%D9%88%D8%B1--%DA%A9%D9%81-%D9%BE%D8%A7 HTTP/1.1,200,17905,https://www.zanbil.ir/m/browse/massager/%D9%85%D8%A7%D8%B3%D8%A7%DA%98%D9%88%D8%B1,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-A720F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36"
151.240.227.162,-,-,24/Jan/2019:06:00:01 +0330,GET /image/59037/productModel/200x200 HTTP/1.1,200,2832,https://www.zanbil.ir/m/filter/b485%2Cp12786?page=3,"Mozilla/5.0 (Linux; Android 5.0.2; HTC_M8Sx Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Mobile Safari/537.36"
213.176.123.55,-,-,26/Jan/2019:15:14:39 +0330,GET /image/20025/productModel/150x150 HTTP/1.1,200,2305,https://www.zanbil.ir/browse/blender-and-grinder/%D9%85%D8%AE%D9%84%D9%88%D8%B7-%DA%A9%D9%86-%D9%88-%D8%A2%D8%B3%DB%8C%D8%A7%D8%A8,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
2.191.59.131,-,-,26/Jan/2019:12:21:46 +0330,GET /static/images/amp/instagram.png HTTP/1.1,200,7146,https://www.zanbil.ir/m/product/24033/50629/%D8%B1%DB%8C%D8%B4-%D8%AA%D8%B1%D8%A7%D8%B4-%D8%AF%D9%88%D8%A7%D8%B1-%D9%81%DB%8C%D9%84%DB%8C%D9%BE%D8%B3-%D9%85%D8%AF%D9%84-S5420,"Mozilla/5.0 (Linux; Android 8.0.0; F5122 Build/34.4.A.2.118) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Mobile Safari/537.36"
91.243.162.182,-,-,24/Jan/2019:15:52:22 +0330,GET /site/searchAutoComplete?f=p0&phrase=asti HTTP/1.1,499,0,https://www.zanbil.ir/search/%D8%A2%D8%B3%D8%AA%DB%8C%D8%A7%DA%A9/p0,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
46.209.92.114,-,-,26/Jan/2019:16:15:19 +0330,GET /image/10061/productModel/150x150 HTTP/1.1,200,5458,"https://www.zanbil.ir/filter/p47,b2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
157.55.39.160,-,-,22/Jan/2019:19:48:01 +0330,GET /product/13079?model=21806 HTTP/1.1,200,39850,-,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
2.185.158.118,-,-,24/Jan/2019:12:50:45 +0330,GET /image/261/brand HTTP/1.1,200,2095,"https://www.zanbil.ir/filter/b36,p47,v1%7C%D9%82%D8%B1%D9%85%D8%B2.","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
66.249.66.194,-,-,22/Jan/2019:14:25:48 +0330,GET /m/product/2580/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D8%B1%D9%88%D9%85%DB%8C%D8%B2%DB%8C-%D9%85%D8%AC%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-Magic-Front-Control-Countertop-Dishwasher-2195 HTTP/1.1,200,21520,-,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
188.209.47.40,-,-,25/Jan/2019:16:51:15 +0330,GET /image/61887/productModel/200x200 HTTP/1.1,200,2298,https://www.zanbil.ir/m/filter/p3%2Cb2,"Mozilla/5.0 (Linux; Android 8.0.0; LG-H870S Build/OPR1.170623.032) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Mobile Safari/537.36"
104.194.24.153,-,-,22/Jan/2019:17:28:59 +0330,GET /image/32601/productModel/150x150 HTTP/1.1,200,3053,https://www.zanbil.ir/browse/wc-valve/%D8%B4%DB%8C%D8%B1-%D8%B1%D9%88%D8%B4%D9%88%DB%8C%DB%8C,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
86.55.26.34,-,-,25/Jan/2019:00:16:56 +0330,GET /image/11/productType/120x90 HTTP/1.1,200,15613,https://www.zanbil.ir/m/product/34026/%DA%86%D8%A7%DB%8C-%D8%B3%D8%A7%D8%B2-%D9%82%D9%88%D8%B1%DB%8C-%D8%B1%D9%88%DB%8C-%DA%A9%D8%AA%D8%B1%DB%8C-%D9%81%D9%84%D8%B1-%D9%85%D8%AF%D9%84-TS-286,"Mozilla/5.0 (Linux; Android 5.0.2; SM-A700H Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.93 Mobile Safari/537.36"
5.122.97.14,-,-,26/Jan/2019:12:12:07 +0330,GET /image/57034/productModel/200x200 HTTP/1.1,200,3438,https://www.zanbil.ir/m/browse/hood/%D9%87%D9%88%D8%AF,"Mozilla/5.0 (Linux; Android 8.1.0; SM-G610F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36"
80.191.214.135,-,-,26/Jan/2019:10:55:43 +0330,GET /static/images/search-category-arrow.png HTTP/1.1,200,217,https://znbl.ir/static/bundle-bundle_site_head.css,Mozilla/5.0 (Windows NT 6.1; rv:64.0) Gecko/20100101 Firefox/64.0
23.101.169.3,-,-,25/Jan/2019:21:06:07 +0330,GET /image/65183/productModel/100x100 HTTP/1.1,200,2443,https://www.zanbil.ir/browse/sports-watches/%D8%B3%D8%A7%D8%B9%D8%AA-%D9%88%D8%B1%D8%B2%D8%B4%DB%8C,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0;  Trident/5.0)
77.77.102.211,-,-,25/Jan/2019:00:16:31 +0330,GET /browse/quran/%D9%82%D8%B1%D8%A2%D9%86 HTTP/1.1,302,0,-,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-T555 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Safari/537.36"
151.234.221.153,-,-,24/Jan/2019:14:19:32 +0330,GET /m/filter/b2%2Cp3?page=1 HTTP/1.1,200,19554,https://www-zanbil-ir.cdn.ampproject.org/,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1"
5.236.83.17,-,-,23/Jan/2019:10:02:10 +0330,GET /image/45/brand HTTP/1.1,200,2628,https://www.zanbil.ir/browse/home-appliances/%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
37.254.161.85,-,-,22/Jan/2019:14:16:05 +0330,GET /static/images/amp/telegram.png HTTP/1.1,200,4859,https://www.zanbil.ir/m/filter/b126%2Cp3,"Mozilla/5.0 (Linux; Android 4.4.2; LenovoA3300-GV) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Safari/537.36"
66.249.66.91,-,-,24/Jan/2019:22:19:11 +0330,GET /filter/b703%2Cb36%2Cb598%2Cb168%2Cb103%2Cb88%2Cb19%2Cb194%2Cb321%2Cb5%2Cb261%2Cb442%2Cb484%2Cb573%2Cb724%2Cb435%2Cb183%2Cb542%2Cb135%2Cb878%2Cb497%2Cb619%2Cb613%2Cb219%2Cb126%2Cb568%2Cb647%2Cb185%2Cb584%2Cb213%2Cb50%2Cb231%2Cb99%2Cb82%2Cb861%2Cb8%2Cb645%2Cstexists%2Cb615%2Cb454%2Cb258%2Cb105%2Cb270%2Cb32%2Cb903%2Cb795%2Cb648?page=6 HTTP/1.1,200,41532,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
172.20.2.174,-,-,25/Jan/2019:14:18:08 +0330,GET /site/ping HTTP/1.1,200,4,-,-
5.232.33.125,-,-,22/Jan/2019:18:57:50 +0330,GET /m/index?utm_medium=26&utm_campaign=Z&utm_source=2&utm_term=205 HTTP/1.1,200,17414,https://emalls.ir/Redirect.aspx?i=10201,"Mozilla/5.0 (Linux; Android 7.0; SM-J701F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
5.202.178.98,-,-,26/Jan/2019:09:24:56 +0330,GET /image/5506/productType/240x180 HTTP/1.1,200,16837,https://www.zanbil.ir/,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
178.236.37.254,-,-,25/Jan/2019:12:25:19 +0330,GET /image/8851/specialSale?role=e2 HTTP/1.1,200,11,https://www.zanbil.ir/,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
5.218.66.0,-,-,24/Jan/2019:00:37:15 +0330,GET /image/1221/mainSlideMobile HTTP/1.1,200,68387,https://www.zanbil.ir/m/filter/b1%2Cp62,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-J500H Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36"
37.137.223.4,-,-,24/Jan/2019:12:37:03 +0330,GET /static/images/guarantees/goodShopping.png HTTP/1.1,200,6496,https://www.zanbil.ir/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
2.183.81.66,-,-,25/Jan/2019:17:45:58 +0330,GET /image/803/mainSlide HTTP/1.1,200,89655,https://www.zanbil.ir/browse/food-preparation/%D8%A2%D9%85%D8%A7%D8%AF%D9%87-%D8%B3%D8%A7%D8%B2%DB%8C-%D8%BA%D8%B0%D8%A7,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
151.242.34.221,-,-,22/Jan/2019:15:03:38 +0330,GET /image/1193/article/100x100 HTTP/1.1,200,19086,https://www.zanbil.ir/filter/b88,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
185.166.60.2,-,-,26/Jan/2019:09:30:02 +0330,GET /static/images/guarantees/support.png HTTP/1.1,200,6454,"https://www.zanbil.ir/filter/b105,p5","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
188.215.24.99,-,-,22/Jan/2019:22:03:30 +0330,GET /event/Lg-festival-home HTTP/1.1,302,0,https://www.zanbil.ir/m,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G610F Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.85 Mobile Safari/537.36"
31.58.58.132,-,-,26/Jan/2019:20:25:29 +0330,GET /m/filter/p5?page=2 HTTP/1.1,200,19617,https://www.zanbil.ir/m/filter/p5?page=1,"Mozilla/5.0 (Linux; Android 4.4.4; SM-G530H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36"
